CR_ID,MONTHS_BALANCE,STATUS
5010253,-13,X
5008900,-23,C
5095383,-3,C
5126835,-46,X
5062030,-24,0
5042220,-10,C
5126064,-28,C
5135636,-49,5
5068261,-16,0
5069180,-2,C
5091052,-20,0
5095120,-20,X
5089909,-1,C
5091589,-25,X
5029667,-25,C
5085781,-12,0
5009570,-9,X
5142490,-50,0
5096933,-33,C
5113387,-31,0
5090568,-20,C
5095383,-15,C
5068844,-5,X
5125352,-43,0
5114393,-6,0
5089000,-2,C
5089252,-7,0
5139548,-6,C
5142910,-24,0
5142984,-1,C
5089252,-4,C
5117444,-38,C
5095570,-14,0
5094868,-4,0
5116036,-17,5
5068844,-19,0
5045640,-22,C
5029667,-50,0
5139549,-36,0
5029014,-8,0
5033648,-29,C
5041990,-20,0
5078817,-7,0
5022795,0,C
5023543,-4,C
5090568,-30,C
5009570,-6,X
5113869,-53,0
5065402,0,X
5024484,-40,C
5041625,-13,X
5142490,-4,C
5117178,-12,X
5045695,-16,C
5114429,-20,0
5022583,-8,C
5094924,-28,0
5096163,0,C
5068911,-20,0
5091004,-31,0
5096827,-3,C
5117234,-4,0
5114384,-1,C
5092013,-7,0
5143064,-54,0
5111072,-3,C
5029014,-11,0
5068310,-3,C
5116674,-5,C
5149210,-27,C
5068107,-46,0
5112909,-54,0
5126064,-2,C
5050629,-2,X
5062515,-19,0
5066498,-28,C
5062515,-13,X
5029667,-23,C
5126064,-36,C
5148996,0,C
5113731,-2,C
5054475,-17,X
5079167,-23,X
5045640,-21,C
5099805,-16,0
5068470,-14,C
5068107,-37,C
5085955,-32,C
5126064,-31,C
5033648,-25,C
5149638,-13,C
5037212,-41,0
5105754,-4,C
5091970,-14,0
5089509,-18,C
5116316,-17,0
5067726,-1,C
5091052,-22,0
5062744,0,0
5089049,-21,0
5065740,-2,C
5050748,-18,0
5088671,-39,X
5046234,-37,0
5126299,-3,C
5068107,-7,C
5089253,-11,0
5116623,-42,X
5115577,-3,C
5023280,-6,C
5029633,-25,C
5008810,-7,C
5105402,-17,0
5125737,-51,0
5113269,-53,0
5135707,-16,0
5090140,-9,X
5010253,-28,X
5136021,-1,0
5046351,-19,X
5116009,-17,0
5036957,-3,0
5135656,-6,0
5089635,-23,X
5097026,-3,C
5089909,-2,C
5113781,0,X
5024484,-45,C
5142304,-1,0
5099974,-37,C
5068310,-4,C
5061700,-2,C
5089465,-20,C
5126123,-24,0
5068374,-33,X
5135636,-2,5
5053483,-38,C
5113269,-43,0
5116672,-3,0
5029633,-33,0
5068406,-27,X
5149272,-10,0
5089000,-32,C
5022817,-12,X
5041990,-21,0
5135636,-19,X
5090270,-17,0
5092260,-6,0
5079106,-5,0
5137251,-31,C
5146407,-21,X
5091042,-3,X
5089635,-36,0
5054244,-2,X
5114077,-9,0
5117167,-38,C
5053705,0,C
5105554,-2,C
5105143,-33,C
5068844,-22,0
5029667,-41,C
5065644,-34,X
5099987,-22,0
5023543,-11,C
5099948,-47,0
5024242,-14,X
5113387,-35,0
5010746,-34,X
5142910,-23,0
5024801,-9,X
5028251,-30,0
5099778,-20,0
5126064,0,C
5094924,-15,C
5126064,-13,C
5066498,-21,C
5097026,-7,C
5065348,-10,C
5029457,-9,0
5111072,-30,0
5036815,-9,C
5009925,-1,0
5115451,-41,C
5068107,-31,C
5029667,-11,C
5068664,-47,0
5022202,-8,C
5065644,-28,0
5106047,-33,C
5068374,-37,0
5117167,-14,C
5089909,-7,C
5118257,-10,0
5029457,-12,0
5099751,-36,C
5054362,-17,C
5135513,-18,C
5062685,-53,0
5024453,-22,0
5009031,-13,X
5132464,-15,0
5089503,-14,0
5046353,-36,X
5066775,-6,C
5091740,-8,C
5048018,-14,C
5042300,-14,0
5010635,-12,C
5023280,-20,C
5029514,-20,C
5067749,-13,0
5024950,-20,0
5033722,0,0
5061692,-11,0
5042220,-37,0
5068436,-12,0
5022795,-9,C
5090030,-33,0
5094924,-14,C
5106158,-15,0
5023398,-22,0
5126248,-34,C
5088945,-25,0
5024801,-13,X
5126238,-22,C
5021642,-13,0
5052899,-14,X
5008897,-18,C
5041721,-19,0
5117167,-28,C
5069004,-9,C
5061961,-4,C
5045699,-3,C
5112654,-40,C
5024696,-6,0
5096859,-28,0
5050479,-1,C
5036485,-2,X
5085781,-26,0
5046497,-11,C
5117167,-15,C
5067726,-17,0
5029127,-22,C
5061700,-40,C
5074653,-43,0
5062737,-11,X
5125352,-5,C
5135778,-1,C
5061072,-5,0
5095334,-24,C
5022795,-14,C
5069180,-24,0
5148996,-1,C
5023280,-5,C
5066498,-37,C
5010463,-1,C
5061700,-45,0
5023534,-20,C
5114384,-16,X
5125352,-44,0
5023544,-3,X
5010635,-27,C
5068107,-41,C
5146458,-33,X
5091256,0,X
5089049,-25,0
5105669,-29,X
5061148,-46,X
5065628,-3,0
5090857,-3,C
5132292,-11,0
5024801,-36,X
5048045,0,C
5105056,-26,C
5008862,-2,X
5022752,-28,C
5022610,-3,0
5118258,-41,0
5065348,-25,C
5036815,-13,0
5125556,-6,C
5090140,-19,X
5099845,-3,C
5066417,-11,1
5088998,-19,0
5067570,-4,C
5095370,-19,C
5067557,-6,0
5113987,-46,C
