APP_ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5841095,F,N,Y,0,171000.0,Working,Higher education,Single / not married,House / apartment,-10161,-761,1,0,1,0,Core staff,1.0
6023346,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19688,-1243,1,0,1,0,Laborers,2.0
6782972,M,Y,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-9193,-1036,1,0,0,0,Sales staff,3.0
5424439,M,Y,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-12962,-2464,1,0,0,0,Drivers,2.0
6100636,M,Y,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,-17144,-2507,1,1,1,1,,2.0
5297663,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-9005,-1188,1,1,1,0,Cooking staff,1.0
6172556,F,Y,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11026,-3930,1,1,1,0,,4.0
6241029,F,Y,Y,1,315000.0,Working,Secondary / secondary special,Married,Rented apartment,-14744,-508,1,0,0,0,Sales staff,3.0
6460581,F,N,Y,0,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15416,-5070,1,0,1,1,Sales staff,2.0
5352446,M,Y,Y,0,135000.0,State servant,Higher education,Married,House / apartment,-12952,-1666,1,1,0,0,Laborers,2.0
6037458,M,Y,Y,1,216000.0,Working,Secondary / secondary special,Married,House / apartment,-15333,-3366,1,0,1,0,Laborers,3.0
5068470,F,N,N,1,108000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15150,-719,1,0,0,0,Medicine staff,3.0
5872524,F,N,Y,2,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12521,-3837,1,0,0,0,,4.0
6577230,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13597,-1282,1,0,0,0,Drivers,3.0
6263626,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-14168,-447,1,0,0,1,Sales staff,2.0
6280918,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-19175,-3712,1,0,0,0,Sales staff,2.0
6121810,M,Y,N,1,202500.0,Working,Incomplete higher,Married,House / apartment,-12932,-2387,1,0,0,1,Drivers,3.0
5113852,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8362,-711,1,1,0,1,Sales staff,2.0
6087007,M,N,Y,2,450000.0,Working,Secondary / secondary special,Married,House / apartment,-13145,-1089,1,0,0,1,Laborers,4.0
5541878,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12370,-2981,1,0,0,0,Laborers,4.0
6276584,F,Y,Y,0,247500.0,Working,Higher education,Separated,House / apartment,-18051,-2691,1,0,1,0,Managers,1.0
5841308,M,Y,N,1,360000.0,Working,Secondary / secondary special,Married,House / apartment,-17322,-1858,1,0,1,0,Managers,3.0
5617880,F,N,N,0,112500.0,Working,Incomplete higher,Single / not married,With parents,-8575,-900,1,0,0,0,Sales staff,1.0
5829738,M,Y,Y,0,216000.0,Working,Incomplete higher,Separated,House / apartment,-10461,-1153,1,0,0,0,,1.0
6659460,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-14674,-1855,1,0,0,1,High skill tech staff,2.0
5981326,M,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9667,-1660,1,1,0,0,Laborers,1.0
6685167,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15066,-3191,1,1,0,0,Laborers,3.0
5313608,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17569,-6677,1,0,0,1,Core staff,2.0
5415327,F,N,N,0,157500.0,Working,Incomplete higher,Civil marriage,Rented apartment,-8347,-707,1,0,0,0,Laborers,2.0
6481000,F,Y,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23454,365243,1,0,1,0,,2.0
5091042,M,N,N,0,360000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9514,-461,1,1,1,1,Waiters/barmen staff,1.0
5282937,M,Y,Y,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16427,-7061,1,0,0,0,Drivers,4.0
5157000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19750,-8284,1,0,0,0,Laborers,2.0
5548572,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16671,-99,1,0,0,0,Cooking staff,2.0
5834308,F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14530,-1755,1,0,0,0,Security staff,4.0
5771719,F,N,N,1,382500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-11974,-203,1,0,0,0,Private service staff,3.0
6415378,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20959,-5923,1,0,1,0,Drivers,2.0
6590632,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-10828,-1792,1,1,0,0,Laborers,1.0
6277206,F,N,Y,0,202500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-12871,-3880,1,0,1,1,Core staff,1.0
5126123,F,Y,N,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-15185,-227,1,1,1,0,Medicine staff,2.0
